employee_name,user_id,O,C,E,A,N,insider
Calvin Edan Love,CEL0561,40,39,36,19,40,1
Christine Reagan Deleon,CRD0624,26,22,17,39,32,1
Jade Felicia Caldwell,JFC0557,22,16,23,40,33,1
Aquila Stewart Dejesus,ASD0577,40,48,36,14,37,1
Micah Abdul Rojas,MAR0955,36,44,23,44,25,0
Gail Rhiannon Mcconnell,GRM0868,21,25,20,13,28,1
April Alika Levy,AAL0706,37,14,28,13,25,1
Rama Vielka Clayton,RVC0232,34,20,47,38,25,1
Tasha Casey Dalton,TCD0009,44,28,44,38,23,1
Aurora Sarah Manning,ASM0575,42,25,21,45,30,1
Devin Abdul Rogers,DAR0885,43,43,44,41,25,1
Jacqueline Latifah Miles,JLM0364,35,22,15,25,37,0
Ferris Omar Barry,FOB0756,42,41,34,20,27,1
Grant Camden Gay,GCG0951,33,33,25,19,44,1
Howard Wing Yang,HWY0038,47,39,40,22,24,1
Aspen Amber Vinson,AAV0450,44,24,36,41,33,1
Colorado John Valentine,CJV0286,18,14,17,13,26,1
Tyrone Damian Garner,TDG0962,42,40,36,26,21,1
Stephanie Victoria Lyons,SVL0803,27,35,20,36,32,1
Quynn Odessa Sanford,QOS0878,18,12,20,16,29,1
Melyssa Deirdre Morgan,MDM0625,18,42,36,27,24,1
Gray Mason Fulton,GMF0738,30,40,45,20,18,1
Bianca Elizabeth Roach,BER0314,23,20,18,19,32,1
Aurelia Martina Reese,AMR0400,19,16,47,28,28,1
Yardley Cairo Elliott,YCE0983,39,21,42,30,36,1
Blaine Jelani Weeks,BJW0619,30,43,47,21,39,1
Delilah Pearl Schneider,DPS0262,20,25,20,14,32,1
TaShya Yoko Bailey,TYB0779,24,20,35,36,34,1
Melissa Ava Stuart,MAS0025,23,14,20,21,23,0
Kermit Beau Leach,KBL0260,16,15,48,16,32,1
Geoffrey Harlan Lara,GHL0460,21,37,24,17,35,0
Flynn Malcolm Gibson,FMG0527,43,38,35,38,28,0
Heather Cynthia Leonard,HCL0651,21,19,44,36,33,1
Shannon Chantale Price,SCP0130,42,18,35,32,24,1
Castor Mark Wolf,CMW0783,21,35,14,16,26,1
Ryan Kelly Frost,RKF0164,40,42,17,18,42,1
Damian Omar Le,DOL0332,32,40,41,18,24,1
Robert Samuel Chen,RSC0089,41,26,35,21,29,1
Cailin Casey Mckee,CCM0136,16,16,39,40,29,1
Nina Camille Hodges,NCH0179,17,12,40,17,25,1
Nicolas Brandon Hendrix,NBH0256,41,43,14,21,22,1
Olivia Rose Galloway,ORG0339,50,28,46,47,20,1
Forrest Rashad Richards,FRR0832,43,40,25,19,30,1
Miriam Shoshana Donovan,MSD0939,24,37,15,42,31,1
Olivia Quynn Hardy,OQH0183,34,38,18,33,23,1
Bethany Stephanie Haynes,BSH0445,38,22,30,15,21,1
Kennedy Shad Parker,KSP0357,41,40,29,19,24,1
Nigel Gareth Ochoa,NGO0690,43,41,41,17,24,1
Vincent Craig Cunningham,VCC0396,21,45,16,37,23,1
Wesley Dustin Dickerson,WDD0366,43,42,17,19,28,0
Kai Penelope Peck,KPP0452,44,46,44,16,19,1
Raymond Tate Osborne,RTO0313,44,45,25,17,27,1
Ariel Bertha Murphy,ABM0845,45,21,35,50,29,1
Vance Ira Alston,VIA0063,40,34,19,50,33,1
Benjamin Ignatius Hooper,BIH0745,43,39,50,27,25,0
Clinton Coby Wolfe,CCW0031,33,47,30,39,33,1
Illana Yvette Bradshaw,IYB0918,17,21,42,14,30,1
Orla Ruth Mckenzie,ORM0669,44,39,28,39,36,1
Mikayla Jaden Barron,MJB0588,39,24,15,47,38,1
Arthur Lucian Bonner,ALB0892,25,19,44,22,30,1
Leah Idola Moran,LIM0674,18,13,35,49,20,1
Lacota Helen Nash,LHN0151,13,15,19,32,26,1
William Theodore Reeves,WTR0563,47,45,46,15,31,1
MacKenzie Kristen Stewart,MKS0204,21,30,21,16,31,1
Armando Albert Walter,AAW0353,49,45,19,25,34,1
Willow Jaime Daniel,WJD0576,40,20,23,38,26,1
Irene Lacota Huffman,ILH0958,28,17,20,19,24,1
Tallulah Liberty Kirby,TLK0993,41,36,40,35,22,1
William Aladdin Bennett,WAB0143,43,43,24,22,33,1
Rashad Aristotle Guerrero,RAG0275,23,38,35,41,32,1
Leilani Quail Callahan,LQC0479,27,38,34,17,36,0
Kai Wynne Craft,KWC0004,23,38,39,20,27,1
Cora Jane Kinney,CJK0200,40,29,24,38,31,1
Flynn Edward Brennan,FEB0306,40,42,26,25,31,1
Indira Jocelyn Mack,IJM0776,41,35,19,41,32,0
Nicolas Kadeem Hayden,NKH0807,45,44,40,22,20,1
Jade Maris Coleman,JMC0925,33,10,23,19,31,1
Stephanie Briar Harrington,SBH0537,34,21,14,13,33,1
Julie Jaime Burns,JJB0700,15,19,39,37,28,1
Amaya Iola Sawyer,AIS0405,40,45,14,37,35,1
Hilda Alice Hahn,HAH0760,34,17,22,37,30,1
Aladdin Hu Day,AHD0848,24,30,49,16,30,1
